4670,0.00427547,3.76318e-11
4680,0.00427547,3.61803e-11
4690,0.00427547,3.47847e-11
4700,0.00427547,3.34431e-11
4710,0.00427547,3.21531e-11
4720,0.00427547,3.09129e-11
4730,0.00427547,2.97206e-11
4740,0.00427547,2.85742e-11
4750,0.00427547,2.74721e-11
4760,0.00427547,2.64124e-11
4770,0.00427547,2.53937e-11
4780,0.00427547,2.44142e-11
4790,0.00427547,2.34725e-11
4800,0.00427547,2.25672e-11
4810,0.00427547,2.16968e-11
4820,0.00427547,2.08598e-11
4830,0.00427547,2.00553e-11
4840,0.00427547,1.92817e-11
4850,0.00427547,1.8538e-11
4860,0.00427547,1.78229e-11
4870,0.00427547,1.71355e-11
4880,0.00427547,1.64745e-11
4890,0.00427547,1.58391e-11
4900,0.00427547,1.52282e-11
4910,0.00427547,1.46408e-11
4920,0.00427547,1.40761e-11
4930,0.00427547,1.35331e-11
4940,0.00427547,1.30112e-11
4950,0.00427547,1.25093e-11
4960,0.00427547,1.20268e-11
4970,0.00427547,1.15629e-11
4980,0.00427547,1.11169e-11
4990,0.00427547,1.06881e-11
5000,0.00427547,1.02759e-11
5010,0.00427547,9.87954e-12
5020,0.00427547,9.49844e-12
5030,0.00427547,9.13209e-12
5040,0.00427547,8.77982e-12
5050,0.00427547,8.44115e-12
5060,0.00427547,8.11561e-12
5070,0.00427547,7.80259e-12
5080,0.00427547,7.50162e-12
5090,0.00427547,7.21226e-12
5100,0.00427547,6.93408e-12
5110,0.00427547,6.66664e-12
5120,0.00427547,6.4095e-12
5130,0.00427547,6.16228e-12
5140,0.00427547,5.92457e-12
5150,0.00427547,5.69606e-12
5160,0.00427546,5.47636e-12
5170,0.00427546,5.26513e-12
5180,0.00427546,5.06202e-12
5190,0.00427546,4.86682e-12
5200,0.00427546,4.67904e-12
5210,0.00427546,4.49861e-12
5220,0.00427546,4.3251e-12
5230,0.00427546,4.15827e-12
5240,0.00427546,3.9979e-12
5250,0.00427546,3.84367e-12
5260,0.00427546,3.69541e-12
5270,0.00427546,3.55288e-12
5280,0.00427546,3.41582e-12
5290,0.00427546,3.28408e-12
5300,0.00427546,3.15746e-12
5310,0.00427546,3.0356e-12
5320,0.00427546,2.91855e-12
5330,0.00427546,2.80593e-12
5340,0.00427546,2.69772e-12
5350,0.00427546,2.59367e-12
5360,0.00427546,2.49365e-12
5370,0.00427546,2.39746e-12
5380,0.00427546,2.305e-12
5390,0.00427546,2.2161e-12
5400,0.00427546,2.13059e-12
5410,0.00427546,2.04838e-12
5420,0.00427546,1.96942e-12
5430,0.00427546,1.89344e-12
5440,0.00427546,1.82042e-12
5450,0.00427546,1.75019e-12
5460,0.00427546,1.68271e-12
5470,0.00427546,1.61778e-12
5480,0.00427546,1.55539e-12
5490,0.00427546,1.4954e-12
5500,0.00427546,1.43772e-12
5510,0.00427546,1.38226e-12
5520,0.00427546,1.32893e-12
5530,0.00427546,1.27769e-12
5540,0.00427546,1.22842e-12
5550,0.00427546,1.18101e-12
5560,0.00427546,1.13545e-12
5570,0.00427546,1.09169e-12
5580,0.00427546,1.04957e-12
5590,0.00427546,1.00908e-12
5600,0.00427546,9.70134e-13
5610,0.00427546,9.32746e-13
5620,0.00427546,8.9679e-13
5630,0.00427546,8.62162e-13
5640,0.00427546,8.28941e-13
5650,0.00427546,7.96972e-13
5660,0.00427546,7.66213e-13
5670,0.00427546,7.36673e-13
5680,0.00427546,7.08253e-13
5690,0.00427546,6.80897e-13
5700,0.00427546,6.54655e-13
5710,0.00427546,6.29393e-13
5720,0.00427546,6.05118e-13
5730,0.00427546,5.81788e-13
5740,0.00427546,5.59339e-13
5750,0.00427546,5.37777e-13
5760,0.00427546,5.17035e-13
5770,0.00427546,4.97081e-13
5780,0.00427546,4.77926e-13
5790,0.00427546,4.59456e-13
5800,0.00427546,4.41747e-13
5810,0.00427546,4.24732e-13
5820,0.00427546,4.08362e-13
5830,0.00427546,3.92594e-13
5840,0.00427546,3.77443e-13
5850,0.00427546,3.62868e-13
5860,0.00427546,3.4889e-13
5870,0.00427546,3.35425e-13
5880,0.00427546,3.22505e-13
5890,0.00427546,3.10048e-13
5900,0.00427546,2.98093e-13
5910,0.00427546,2.8658e-13
5920,0.00427546,2.75563e-13
5930,0.00427546,2.64908e-13
5940,0.00427546,2.54711e-13
5950,0.00427546,2.4486e-13
5960,0.00427546,2.35404e-13
5970,0.00427546,2.26384e-13
5980,0.00427546,2.17648e-13
5990,0.00427546,2.09213e-13
6000,0.00427546,2.01149e-13
6010,0.00427546,1.93417e-13
6020,0.00427546,1.85922e-13
6030,0.00427546,1.78763e-13
6040,0.00427546,1.7187e-13
6050,0.00427546,1.65252e-13
6060,0.00427546,1.58882e-13
6070,0.00427546,1.5271e-13
6080,0.00427546,1.46859e-13
6090,0.00427546,1.41168e-13
6100,0.00427546,1.35728e-13
6110,0.00427546,1.30504e-13
6120,0.00427546,1.25461e-13
6130,0.00427546,1.20644e-13
6140,0.00427546,1.15974e-13
6150,0.00427546,1.11483e-13
6160,0.00427546,1.0719e-13
6170,0.00427546,1.03074e-13
